;Avant_Crise;Sans_Effet;Apres_Crise
Bin1;0;0;1
Bin10;0;1;0
Bin100;0;0;1
Bin1001;1;0;0
Bin1003;1;0;0
Bin1004;1;0;0
Bin1006;1;0;0
Bin1007;0;0;1
Bin1008;0;1;0
Bin1009;1;0;0
Bin1015;0;1;0
Bin1016;0;0;1
Bin1017;0;0;1
Bin102;1;0;0
Bin1023;0;0;1
Bin1024;0;0;1
Bin1025;0;0;1
Bin1027;1;0;0
Bin103;0;1;0
Bin1031;1;0;0
Bin1032;0;1;0
Bin1033;1;0;0
Bin1034;0;1;0
Bin1040;1;0;0
Bin1043;1;0;0
Bin1046;0;0;1
Bin1047;1;0;0
Bin1048;1;0;0
Bin1051;0;0;1
Bin1052;0;1;0
Bin1053;0;0;1
Bin1054;0;0;1
Bin1056;0;1;0
Bin1058;1;0;0
Bin1059;0;0;1
Bin1060;1;0;0
Bin1061;0;0;1
Bin1063;0;0;1
Bin1065;0;1;0
Bin1066;0;1;0
Bin1069;0;1;0
Bin107;1;0;0
Bin1070;0;1;0
Bin1071;0;0;1
Bin1073;0;1;0
Bin1075;1;0;0
Bin1079;1;0;0
Bin108;1;0;0
Bin1083;1;0;0
Bin1084;1;0;0
Bin1089;1;0;0
Bin109;0;0;1
Bin1095;1;0;0
Bin110;0;1;0
Bin1100;1;0;0
Bin1103;0;0;1
Bin1104;1;0;0
Bin1109;1;0;0
Bin1110;0;1;0
Bin1113;0;0;1
Bin1114;0;1;0
Bin1116;0;1;0
Bin1117;1;0;0
Bin112;1;0;0
Bin1121;1;0;0
Bin1122;0;1;0
Bin1126;0;1;0
Bin1128;1;0;0
Bin113;1;0;0
Bin1130;0;1;0
Bin1131;0;0;1
Bin1135;0;1;0
Bin1138;0;0;1
Bin1139;0;0;1
Bin114;1;0;0
Bin1145;1;0;0
Bin1146;1;0;0
Bin1149;1;0;0
Bin1151;0;1;0
Bin1152;1;0;0
Bin1155;0;1;0
Bin1157;1;0;0
Bin1159;1;0;0
Bin1163;1;0;0
Bin1166;1;0;0
Bin1167;0;0;1
Bin1170;0;0;1
Bin1174;0;1;0
Bin1176;1;0;0
Bin118;0;1;0
Bin1182;0;0;1
Bin1184;0;1;0
Bin119;0;0;1
Bin12;0;0;1
Bin120;0;1;0
Bin122;1;0;0
Bin123;1;0;0
Bin124;1;0;0
Bin128;1;0;0
Bin130;0;1;0
Bin132;1;0;0
Bin133;0;0;1
Bin138;0;0;1
Bin14;1;0;0
Bin143;1;0;0
Bin144;0;1;0
Bin145;0;1;0
Bin146;0;1;0
Bin147;1;0;0
Bin148;0;0;1
Bin15;0;1;0
Bin152;0;1;0
Bin158;1;0;0
Bin162;1;0;0
Bin167;1;0;0
Bin170;1;0;0
Bin172;1;0;0
Bin175;0;0;1
Bin177;0;0;1
Bin18;0;0;1
Bin180;0;1;0
Bin183;1;0;0
Bin187;1;0;0
Bin19;1;0;0
Bin190;0;1;0
Bin194;0;0;1
Bin195;0;0;1
Bin197;0;1;0
Bin198;1;0;0
Bin199;1;0;0
Bin20;0;0;1
Bin200;1;0;0
Bin204;1;0;0
Bin205;0;1;0
Bin208;1;0;0
Bin209;1;0;0
Bin21;1;0;0
Bin210;0;0;1
Bin211;1;0;0
Bin212;0;1;0
Bin214;1;0;0
Bin217;1;0;0
Bin219;0;0;1
Bin221;1;0;0
Bin223;0;0;1
Bin226;1;0;0
Bin228;1;0;0
Bin229;1;0;0
Bin230;1;0;0
Bin231;0;0;1
Bin233;1;0;0
Bin234;1;0;0
Bin236;0;1;0
Bin240;0;0;1
Bin241;0;1;0
Bin242;1;0;0
Bin243;1;0;0
Bin248;0;0;1
Bin249;0;0;1
Bin25;1;0;0
Bin251;1;0;0
Bin252;1;0;0
Bin256;0;1;0
Bin258;0;0;1
Bin259;0;1;0
Bin26;1;0;0
Bin260;1;0;0
Bin265;0;0;1
Bin269;1;0;0
Bin27;1;0;0
Bin272;1;0;0
Bin275;0;1;0
Bin277;0;1;0
Bin278;0;0;1
Bin279;0;0;1
Bin282;1;0;0
Bin285;1;0;0
Bin286;1;0;0
Bin287;0;0;1
Bin288;0;0;1
Bin289;1;0;0
Bin290;0;0;1
Bin291;0;1;0
Bin292;0;0;1
Bin294;1;0;0
Bin297;0;0;1
Bin298;1;0;0
Bin299;0;0;1
Bin300;1;0;0
Bin303;0;1;0
Bin304;0;0;1
Bin305;1;0;0
Bin307;0;0;1
Bin308;1;0;0
Bin310;0;0;1
Bin311;0;1;0
Bin312;0;1;0
Bin313;0;0;1
Bin314;0;1;0
Bin316;1;0;0
Bin317;1;0;0
Bin320;0;0;1
Bin321;0;0;1
Bin323;0;0;1
Bin324;0;1;0
Bin325;1;0;0
Bin328;0;0;1
Bin33;0;0;1
Bin330;1;0;0
Bin331;0;1;0
Bin332;0;1;0
Bin341;0;1;0
Bin346;0;0;1
Bin347;1;0;0
Bin352;1;0;0
Bin353;1;0;0
Bin354;0;0;1
Bin357;0;1;0
Bin358;0;0;1
Bin360;0;1;0
Bin363;0;1;0
Bin364;0;1;0
Bin365;0;1;0
Bin366;0;0;1
Bin369;1;0;0
Bin372;1;0;0
Bin374;1;0;0
Bin376;0;0;1
Bin383;0;1;0
Bin384;0;0;1
Bin386;0;0;1
